Timestamp,Age,Country,City,Sex,How do you commute? Check all that apply,How long is your commute?,How much of your time at work is spent sitting?,How satisfied are you with your quality of sleep?,In which position do you normally sleep?,How would you rate your level of physical activity?,"Do you use a fitness tracking device? (Fitbit, Apple Watch, Pebble, etc)",Please rate your general posture.,Are you concerned are you about your posture?,Do you have frequent back pain?,How severe is the pain? (leave blank if not applicable),Where do you experience the pain?,When do you experience the pain? Check all that apply.,If you have sought medical treatment for the pain please check all that apply.,What do you like least about finding back pain relief?
2019/10/17 7:06:13 PM EST,56,United States,"Maryville, MO",Male,Walk;Drive a car,< 10 minutes,50% - 75%,Dissatisfied,On your back,Active (some form of exercise 3 - 4 days per week),Yes,3,No,3,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary,"Visited a physician or doctor;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/17 8:32:38 PM EST,19,United States,DENVER,Male,Drive a car,10 - 29 minutes,< 25%,Satisfied,On your side,Very active (some from of exercise 5 days a week),No,3,"Probably, but I likely wouldn't do anything about it.",2,1,Lower back,Not Applicable,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 8:52:22 PM EST,64,USA,Madison,Male,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,4,No,2,2,Lower back,Not Applicable,Not Applicable,Doing frequent exercises / stretches
2019/10/17 8:56:18 PM EST,21,USA,Yonkers,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,2,Upper back / shoulders;Base of the neck,While standing;While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/17 9:04:20 PM EST,57,United States,State University,Female,Walk,< 10 minutes,25% - 50%,Satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,3,No,3,3,Lower back,While moving,Not Applicable,Lack of access to cost effective treatment
2019/10/17 10:20:04 PM EST,82,USA,Wayland,Female,Drive a car,< 10 minutes,25% - 50%,Very satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,2,2,Lower back,While standing;While moving,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/17 10:47:59 PM EST,44,United States,Old Westbury,Male,Use public transportation,> 45 minutes,50% - 75%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),No,4,No,1,,NA,,,
2019/10/17 10:58:41 PM EST,62,UAE,Abu Dhabi,Female,Walk,< 10 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,3,,Lower back;Upper back / shoulders,While sedentary,"Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/17 11:51:28 PM EST,47,Los Angeles,Walnut,Female,Drive a car,30 - 45 minutes,50% - 75%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),"Own, but do not use",3,No,2,2,Base of the neck,While sedentary,Used CBD products,Treatment is inconvenient and time consuming
2019/10/18 4:15:00 AM EST,56,USA,Mineola,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,3,No,2,2,Base of the neck,While standing;While moving;While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/18 4:35:17 AM EST,55,USA,Pittsburgh,Female,Walk,30 - 45 minutes,50% - 75%,Very dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,2,Upper back / shoulders;Base of the neck,While standing;While moving,Used homeopathic remedies,Doing frequent exercises / stretches
2019/10/18 5:58:14 AM EST,21,United States,Wilkes-Barre,Female,Walk;Drive a car,10 - 29 minutes,< 25%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,No,4,3,Lower back,While standing;While sedentary,"Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/18 6:21:36 AM EST,37,USA,Rhinebeck,Male,Drive a car,10 - 29 minutes,< 25%,Very dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/18 6:39:30 AM EST,50,USA,Earlton,Male,Drive a car,30 - 45 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",3,3,Lower back,While standing;While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/18 6:46:40 AM EST,55,USA,"Columbia, MO",Male,Drive a car,< 10 minutes,50% - 75%,Dissatisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),No,3,Yes,1,,NA,While sedentary,Not Applicable,
2019/10/18 6:57:43 AM EST,74,USA,,Male,Drive a car,10 - 29 minutes,25% - 50%,Satisfied,On your back,Active (some form of exercise 3 - 4 days per week),No,3,No,3,2,Lower back,While sleeping,"Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/18 7:04:15 AM EST,54,USA,Ann Arbor,Female,Drive a car,10 - 29 minutes,75% - 100%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),Yes,4,No,3,2,Lower back,While standing;While moving,"Visited a chiropractor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/18 7:15:32 AM EST,50,USA,Bowling green,Female,Drive a car,> 45 minutes,25% - 50%,Satisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,4,No,1,1,Lower back,While standing,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/18 7:37:53 AM EST,40,United States,Dallas,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,3,3,Upper back / shoulders,While standing;While sedentary,"Visited a physician or doctor;Visited a chiropractor;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/18 8:02:49 AM EST,61,US,"Whitewater, WI",Female,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,2,"Probably, but I likely wouldn't do anything about it.",2,1,Lower back,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 8:11:35 AM EST,54,USA,Kansas City,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your side,Minimal (walking to and from the car/bus each day),"Own, but do not use",3,"Probably, but I likely wouldn't do anything about it.",3,3,Lower back,While standing,"Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/10/18 8:15:43 AM EST,50,USA,Bowling green,Female,Drive a car,> 45 minutes,25% - 50%,Satisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,4,No,1,1,Lower back,While standing,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/18 8:20:27 AM EST,25,United States,Dallas,Male,Drive a car,< 10 minutes,75% - 100%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,1,,NA,,,
2019/10/18 8:23:59 AM EST,56,US,Hempstead,Female,Drive a car,30 - 45 minutes,75% - 100%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,No,1,,NA,Not Applicable,Not Applicable,N/A
2019/10/18 8:31:46 AM EST,39,USA,Dallas,Female,Drive a car;Use public transportation,30 - 45 minutes,50% - 75%,Satisfied,On your side,Very active (some from of exercise 5 days a week),No,4,No,4,2,Lower back,While standing;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/18 9:15:31 AM EST,38,US,Edinboro,Female,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,3,2,Lower back;Upper back / shoulders,While sedentary;While sleeping,Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/18 9:22:30 AM EST,58,U.S.,Dallas,Male,Drive a car,> 45 minutes,75% - 100%,Very satisfied,On your side,Very active (some from of exercise 5 days a week),No,4,No,2,2,Lower back,While sedentary,Not Applicable,spending money on medication or other curative methods
2019/10/18 10:39:05 AM EST,89,USA,"Tallahassee, FL",Male,,,,Neutral,On your side,Very active (some from of exercise 5 days a week),Yes,4,No,2,1,Upper back / shoulders,Not Applicable,Not Applicable,
2019/10/18 10:55:18 AM EST,22,United States,,,Walk,10 - 29 minutes,75% - 100%,Very satisfied,,Active (some form of exercise 3 - 4 days per week),No,4,No,4,2,Lower back,While sedentary,"Visited a physical therapist;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/18 11:08:21 AM EST,40,United States,Dallas,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,3,3,Upper back / shoulders,While standing;While sedentary,"Visited a physician or doctor;Visited a chiropractor;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/18 11:22:07 AM EST,64,USA,Dallas,Male,Drive a car,30 - 45 minutes,25% - 50%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,4,2,Lower back,While sedentary;While sleeping,Visited a physician or doctor;Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/18 11:58:05 AM EST,67,United States,University City,Male,Drive a car,< 10 minutes,50% - 75%,Very satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",2,1,Lower back;Upper back / shoulders,While sedentary,Not Applicable,sitting upright
2019/10/18 12:47:59 PM EST,40,United States,BAYFIELD,Female,Drive a car,> 45 minutes,50% - 75%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,4,2,Lower back,While standing;While sleeping,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/18 1:08:47 PM EST,42,United States,Thiensville,Female,Drive a car,30 - 45 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,1,Yes,4,5,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sleeping,"Visited a physical therapist;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/18 1:34:15 PM EST,52,USA,,Female,Drive a car,30 - 45 minutes,50% - 75%,Very satisfied,On your back,Very active (some from of exercise 5 days a week),Yes,2,Yes,4,3,Lower back;Upper back / shoulders,While standing;While sedentary,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor,There are things I can't do because of back pain.  Frustrating.
2019/10/18 1:41:58 PM EST,23,United States,New Rochelle,Female,Walk,10 - 29 minutes,75% - 100%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,4,4,Lower back;Upper back / shoulders,While standing;While sedentary,"Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/10/18 4:07:31 PM EST,35,United States,Lowell,Female,Drive a car,> 45 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,No,3,4,Upper back / shoulders,While sedentary,Visited a physical therapist,Doing frequent exercises / stretches
2019/10/18 4:09:24 PM EST,35,United States,Lowell,Female,Drive a car,> 45 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,4,4,Upper back / shoulders,While sedentary,Visited a physical therapist;Taken prescription pain medication,Doing frequent exercises / stretches
2019/10/18 4:12:11 PM EST,54,United States,St. Louis,Female,Drive a car,> 45 minutes,75% - 100%,Dissatisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,2,Yes,5,3,Upper back / shoulders,While sleeping,"Visited a physician or doctor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/18 5:23:01 PM EST,18,,,Female,Walk,10 - 29 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,2,Lower back,While standing,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:23:26 PM EST,18,United States,Irvine,Female,Walk;Use public transportation,10 - 29 minutes,50% - 75%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),No,4,Yes,2,1,Lower back,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:24:05 PM EST,20,United States,Irvine,Female,Drive a car,< 10 minutes,< 25%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,1,1,NA,,Not Applicable,
2019/10/18 5:24:47 PM EST,18,USA,Westminster,Male,Drive a car,10 - 29 minutes,75% - 100%,Very satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,4,No,2,2,Upper back / shoulders,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:25:30 PM EST,21,United States,Irvine,Female,Walk,10 - 29 minutes,75% - 100%,Satisfied,On your back,Minimal (walking to and from the car/bus each day),No,3,Yes,2,1,Lower back,While standing,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:29:43 PM EST,19,USA,Napa,Female,Walk,30 - 45 minutes,50% - 75%,Neutral,On your side,Athletic (daily exercise),"Own, but do not use",1,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:32:23 PM EST,20,United States,Irvine,Female,Drive a car,30 - 45 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,"Probably, but I likely wouldn't do anything about it.",2,2,Upper back / shoulders;Base of the neck,While sedentary;While sleeping,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:34:21 PM EST,25,,,Female,Drive a car,30 - 45 minutes,50% - 75%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,3,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/18 5:35:14 PM EST,39,USA,Garden Grove,Female,Drive a car,30 - 45 minutes,< 25%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sleeping,"Visited a physician or doctor;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used homeopathic remedies",Doing frequent exercises / stretches
2019/10/18 5:40:28 PM EST,19,United states,Buena Park,Female,Drive a car,> 45 minutes,50% - 75%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,2,"Probably, but I likely wouldn't do anything about it.",3,3,Lower back,While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/18 5:41:03 PM EST,23,United States,Irvine,Female,Drive a car;Use public transportation,< 10 minutes,75% - 100%,Very dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,4,3,Upper back / shoulders,While moving;While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/18 5:43:31 PM EST,20,USA,Irvine,Female,Walk;Drive a car;Use public transportation,< 10 minutes,50% - 75%,Very dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,No,2,1,Lower back;Upper back / shoulders,While moving;While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 5:53:56 PM EST,20,USA,Irvine,Female,Drive a car,10 - 29 minutes,< 25%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,"Probably, but I likely wouldn't do anything about it.",2,2,Lower back;Upper back / shoulders,While standing,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/18 5:56:40 PM EST,18,USA,Irvine,Female,Walk;Bike,< 10 minutes,75% - 100%,Satisfied,On your side,Very active (some from of exercise 5 days a week),No,3,No,2,1,Lower back;Upper back / shoulders,While standing;While moving;While sedentary,Not Applicable,Lack of access to cost effective treatment
2019/10/18 6:10:00 PM EST,19,United States,Irvine,Female,Walk;Drive a car,10 - 29 minutes,75% - 100%,Very dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,"Probably, but I likely wouldn't do anything about it.",1,1,NA,Not Applicable,Not Applicable,
2019/10/18 6:12:39 PM EST,20,United States,Irvine,Female,Walk;Use public transportation,10 - 29 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,No,1,,NA,Not Applicable,Not Applicable,
2019/10/18 6:16:16 PM EST,20,United States,Irvine,Female,Walk,< 10 minutes,75% - 100%,Very satisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,3,"Probably, but I likely wouldn't do anything about it.",1,1,Lower back;Base of the neck,While sedentary,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/18 6:33:33 PM EST,20,United States,Irvine,Female,Walk,10 - 29 minutes,25% - 50%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,5,5,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,"Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/18 7:03:14 PM EST,18,United States,Santa Ana,Female,Use public transportation,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,1,Yes,3,3,Upper back / shoulders,While sedentary,Not Applicable,Lack of access to cost effective treatment
2019/10/18 7:11:06 PM EST,17,United States,San Francisco,Female,Walk;Bike;Use public transportation,< 10 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,"Probably, but I likely wouldn't do anything about it.",3,1,Lower back,Not Applicable,Not Applicable,
2019/10/18 7:53:52 PM EST,18,USA,Rosemead,Female,Walk;Drive a car,> 45 minutes,50% - 75%,Neutral,On your side,Minimal (walking to and from the car/bus each day),Yes,3,Yes,2,1,Lower back;Upper back / shoulders,While standing;While moving,Not Applicable,Lack of access to cost effective treatment
2019/10/18 7:54:01 PM EST,18,United States,Irvine,Female,Walk,< 10 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,4,4,Lower back,While standing;While moving;While sedentary,"Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/18 8:23:33 PM EST,21,United States,Irvine,Female,Drive a car,10 - 29 minutes,< 25%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,3,"Probably, but I likely wouldn't do anything about it.",2,2,Lower back;Upper back / shoulders,While moving,Visited a chiropractor,Lack of access to cost effective treatment
2019/10/18 8:35:11 PM EST,19,United States,Irvine,Female,Drive a car;Use public transportation,10 - 29 minutes,25% - 50%,Neutral,On your side,Minimal (walking to and from the car/bus each day),"Own, but do not use",4,"Probably, but I likely wouldn't do anything about it.",5,4,Lower back;Upper back / shoulders,While standing;While moving,"Visited a physician or doctor;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/18 9:08:14 PM EST,19,United States,Buena Park,Female,Drive a car,> 45 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,4,3,Lower back;Upper back / shoulders,While standing;While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/18 9:48:38 PM EST,21,United States,Anaheim,Female,Drive a car,> 45 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,,3,2,Upper back / shoulders;Base of the neck,While moving;While sleeping,Not Applicable,Doing frequent exercises / stretches
2019/10/18 10:07:16 PM EST,19,United States,Irvine,Female,Walk;Use public transportation,10 - 29 minutes,50% - 75%,Satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,2,No,1,,NA,Not Applicable,Not Applicable,
2019/10/18 10:14:38 PM EST,20,USA,Irvine,Female,Walk;Use public transportation,10 - 29 minutes,75% - 100%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),No,2,No,1,,NA,,,
2019/10/18 11:28:56 PM EST,18,United States,Irvine,Male,Walk,< 10 minutes,25% - 50%,Satisfied,On your side,Very active (some from of exercise 5 days a week),No,3,No,1,1,NA,Not Applicable,Not Applicable,N/A
2019/10/18 11:55:06 PM EST,20,United States,Fullerton,Female,Drive a car,30 - 45 minutes,< 25%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,2,"Probably, but I likely wouldn't do anything about it.",1,,NA,Not Applicable,Not Applicable,
2019/10/19 9:58:31 AM EST,33,United States,Temple City,Female,Drive a car,> 45 minutes,25% - 50%,Very satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/19 10:14:47 AM EST,31,US,Pasadena,Female,Drive a car,> 45 minutes,50% - 75%,Satisfied,On your side,Very active (some from of exercise 5 days a week),No,2,Yes,2,1,Lower back;Upper back / shoulders,While moving;While sedentary,Visited a physical therapist;Visited a chiropractor,"no matter what you do to correct it, the root problem remains: sitting in a car or class all day"
2019/10/19 11:26:42 AM EST,19,US,Brockton,Female,Drive a car,> 45 minutes,75% - 100%,Neutral,On your side,Athletic (daily exercise),Yes,2,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sleeping,"Taken prescription pain medication;Taken ""over the counter"" pain medication;Used homeopathic remedies",Doing frequent exercises / stretches
2019/10/19 11:44:03 AM EST,21,United States,Irvine,Female,Drive a car,< 10 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,2,2,Lower back;Upper back / shoulders,While standing,Not Applicable,none
2019/10/19 11:44:07 AM EST,24,USA,San Gabriel,Female,Drive a car,> 45 minutes,75% - 100%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,2,Yes,4,2,Lower back;Base of the neck,While standing;While moving,Visited a physical therapist,Treatment is inconvenient and time consuming
2019/10/19 2:00:10 PM EST,34,USA,"Lake Dallas, TX",Female,Drive a car,> 45 minutes,50% - 75%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,No,3,2,Lower back;Upper back / shoulders;Base of the neck,While sedentary,Visited a physician or doctor;Visited a chiropractor;Used homeopathic remedies,Lack of access to cost effective treatment
2019/10/19 2:26:44 PM EST,20,United States,Elk Grove,Female,Walk,< 10 minutes,< 25%,Neutral,On your side,Very active (some from of exercise 5 days a week),No,2,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving,Not Applicable,Treatment is inconvenient and time consuming
2019/10/19 4:14:52 PM EST,29,United States,Anaheim,Female,Drive a car,30 - 45 minutes,75% - 100%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,4,Yes,2,2,Lower back,While standing;While moving,Visited a physician or doctor;Visited a physical therapist,Treatment has been ineffective
2019/10/19 5:39:35 PM EST,21,United States,Anaheim,Female,Drive a car,> 45 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,,3,2,Upper back / shoulders;Base of the neck,While moving;While sleeping,Not Applicable,Doing frequent exercises / stretches
2019/10/19 7:52:16 PM EST,21,USA,"Glendale, California",Female,Walk;Drive a car,10 - 29 minutes,25% - 50%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,3,3,Lower back;Base of the neck,While standing;While moving,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/20 3:58:19 AM EST,20,United States,Temple City,Female,Use public transportation,< 10 minutes,50% - 75%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,3,"Probably, but I likely wouldn't do anything about it.",2,1,Lower back,While standing;Not Applicable,Not Applicable,Treatment is inconvenient and time consuming
2019/10/20 9:56:01 AM EST,21,United States,San Jacinto,Male,Walk;Drive a car;Use public transportation,10 - 29 minutes,< 25%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,2,Lower back,While sedentary,Visited a chiropractor,
2019/10/20 2:02:27 PM EST,23,United States,,Male,Walk;Bike;Drive a car,30 - 45 minutes,< 25%,Satisfied,On your back,Very active (some from of exercise 5 days a week),No,4,Yes,2,2,Base of the neck,While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/20 3:32:48 PM EST,36,USA,Jonesboro,Female,Drive a car,10 - 29 minutes,25% - 50%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,3,1,Upper back / shoulders,While standing,Not Applicable,Doing frequent exercises / stretches
2019/10/20 7:08:42 PM EST,21,United States,Irvine,Female,Walk;Use public transportation,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,No,1,1,Lower back,Not Applicable,Not Applicable,Doing frequent exercises / stretches
2019/10/20 8:57:39 PM EST,21,United States,anaheim,Female,Drive a car,> 45 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,1,1,NA,,,
2019/10/21 3:07:31 AM EST,20,United States,Alhambra,Female,Walk;Drive a car,10 - 29 minutes,25% - 50%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,1,Yes,4,2,Lower back;Upper back / shoulders;Base of the neck,While sedentary,Visited a physician or doctor;Visited a chiropractor,Lack of access to cost effective treatment
2019/10/21 3:18:11 AM EST,18,United States,El Cajon,Female,Walk,10 - 29 minutes,75% - 100%,Neutral,On your back,Very active (some from of exercise 5 days a week),No,2,"Probably, but I likely wouldn't do anything about it.",5,3,Lower back,While standing,Not Applicable,Doing frequent exercises / stretches
2019/10/21 4:23:03 AM EST,18,USA,San Diego,Female,Walk,< 10 minutes,75% - 100%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,"Probably, but I likely wouldn't do anything about it.",1,,,,,
2019/10/21 7:35:18 AM EST,22,USA,"Washington, DC",Female,Walk,< 10 minutes,75% - 100%,Very satisfied,On your back,Very active (some from of exercise 5 days a week),Yes,3,Yes,4,2,Lower back;Upper back / shoulders;Base of the neck,While standing,Not Applicable,Lack of access to cost effective treatment
2019/10/21 9:49:16 AM EST,26,,,Female,Drive a car,< 10 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,2,Yes,4,3,Lower back;Upper back / shoulders,While standing;While sedentary;While sleeping,"Visited a physician or doctor;Taken ""over the counter"" pain medication",As a student my life is at the computer so IÃ¢ÂÂm not sure how to change my back pain
2019/10/21 11:03:51 AM EST,49,United States,New Orleans,Male,Drive a car,> 45 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,2,Lower back;Base of the neck,While moving,Visited a physical therapist,Lack of access to cost effective treatment
2019/10/21 11:04:13 AM EST,22,United States,New York City,Female,Use public transportation,> 45 minutes,< 25%,Satisfied,On your side,Athletic (daily exercise),No,3,Yes,5,4,Lower back;Upper back / shoulders;Base of the neck,While moving,Visited a physician or doctor;Visited a chiropractor;Used homeopathic remedies,"Though stretching daily helps, no one has really been able to further help with the pain. "
2019/10/21 12:54:22 PM EST,33,USA,Wellesley,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your stomach,Minimal (walking to and from the car/bus each day),"Own, but do not use",2,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While sedentary;While sleeping,Not Applicable,Treatment is inconvenient and time consuming
2019/10/21 1:17:24 PM EST,26,United States,Saint Louis,Male,Drive a car,< 10 minutes,75% - 100%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,2,"Probably, but I likely wouldn't do anything about it.",1,1,Lower back,Not Applicable,Not Applicable,Doing frequent exercises / stretches
